faa,name,lat,lon,,,,,,
25D,Forest Lake Airport,45.2477456,-92.9943853,,''25D''=''Forest Lake Airport'',,"""","25D""= ""Forest Lake Airport ""","""25D""= ""Forest Lake Airport """
29D,Grove City Airport,41.1460278,-80.16775,,''29D''=''Grove City Airport'',,"""","29D""= ""Grove City Airport ""","""29D""= ""Grove City Airport """
2A0,Mark Anton Airport,35.48625,-84.9310833,,''2A0''=''Mark Anton Airport'',,"""","2A0""= ""Mark Anton Airport ""","""2A0""= ""Mark Anton Airport """
2G2,Jefferson County Airpark,40.3602179,-80.7008742,,''2G2''=''Jefferson County Airpark'',,"""","2G2""= ""Jefferson County Airpark ""","""2G2""= ""Jefferson County Airpark """
2G9,Somerset County Airport,40.0388708,-79.0149951,,''2G9''=''Somerset County Airport'',,"""","2G9""= ""Somerset County Airport ""","""2G9""= ""Somerset County Airport """
2J9,Quincy Municipal Airport,30.5978708,-84.557425,,''2J9''=''Quincy Municipal Airport'',,"""","2J9""= ""Quincy Municipal Airport ""","""2J9""= ""Quincy Municipal Airport """
369,Atmautluak Airport,60.866667,-162.273056,,''369''=''Atmautluak Airport'',,"""","369""= ""Atmautluak Airport ""","""369""= ""Atmautluak Airport """
36U,Heber City Municipal Airport,40.4818056,-111.4288056,,''36U''=''Heber City Municipal Airport'',,"""","36U""= ""Heber City Municipal Airport ""","""36U""= ""Heber City Municipal Airport """
38W,Lynden Airport,48.9558961,-122.4581183,,''38W''=''Lynden Airport'',,"""","38W""= ""Lynden Airport ""","""38W""= ""Lynden Airport """
3D2,Ephraim-Gibraltar Airport,45.1354167,-87.1879444,,''3D2''=''Ephraim-Gibraltar Airport'',,"""","3D2""= ""Ephraim-Gibraltar Airport ""","""3D2""= ""Ephraim-Gibraltar Airport """
3G3,Wadsworth Municipal,41.0031572,-81.7564401,,''3G3''=''Wadsworth Municipal'',,"""","3G3""= ""Wadsworth Municipal ""","""3G3""= ""Wadsworth Municipal """
3G4,Ashland County Airport,40.9029722,-82.2556389,,''3G4''=''Ashland County Airport'',,"""","3G4""= ""Ashland County Airport ""","""3G4""= ""Ashland County Airport """
3J1,Ridgeland Airport,32.4934167,-80.99175,,''3J1''=''Ridgeland Airport'',,"""","3J1""= ""Ridgeland Airport ""","""3J1""= ""Ridgeland Airport """
3W2,Put-in-Bay Airport,41.3521,-82.497,,''3W2''=''Put-in-Bay Airport'',,"""","3W2""= ""Put-in-Bay Airport ""","""3W2""= ""Put-in-Bay Airport """
40J,Perry-Foley Airport,30.0692778,-83.5805833,,''40J''=''Perry-Foley Airport'',,"""","40J""= ""Perry-Foley Airport ""","""40J""= ""Perry-Foley Airport """
41N,Braceville Airport,41.2111675,-80.9692572,,''41N''=''Braceville Airport'',,"""","41N""= ""Braceville Airport ""","""41N""= ""Braceville Airport """
47A,Cherokee County Airport,34.3122175,-84.4221556,,''47A''=''Cherokee County Airport'',,"""","47A""= ""Cherokee County Airport ""","""47A""= ""Cherokee County Airport """
49A,Gilmer County Airport,34.6282222,-84.5265833,,''49A''=''Gilmer County Airport'',,"""","49A""= ""Gilmer County Airport ""","""49A""= ""Gilmer County Airport """
49X,Chemehuevi Valley,34.528889,-114.431971,,''49X''=''Chemehuevi Valley'',,"""","49X""= ""Chemehuevi Valley ""","""49X""= ""Chemehuevi Valley """
4A4,Polk County Airport - Cornelius Moore Field,34.0186944,-85.1464722,,''4A4''=''Polk County Airport - Cornelius Moore Field'',,"""","4A4""= ""Polk County Airport - Cornelius Moore Field ""","""4A4""= ""Polk County Airport - Cornelius Moore Field """
4A7,Clayton County Tara Field,33.389099,-84.332397,,''4A7''=''Clayton County Tara Field'',,"""","4A7""= ""Clayton County Tara Field ""","""4A7""= ""Clayton County Tara Field """
4A9,Isbell Field Airport,34.4736944,-85.7213889,,''4A9''=''Isbell Field Airport'',,"""","4A9""= ""Isbell Field Airport ""","""4A9""= ""Isbell Field Airport """
4B8,Robertson Field,41.6893333,-72.8646944,,''4B8''=''Robertson Field'',,"""","4B8""= ""Robertson Field ""","""4B8""= ""Robertson Field """
4G0,Pittsburgh-Monroeville Airport,40.4526389,-79.7749167,,''4G0''=''Pittsburgh-Monroeville Airport'',,"""","4G0""= ""Pittsburgh-Monroeville Airport ""","""4G0""= ""Pittsburgh-Monroeville Airport """
4G2,Hamburg Inc Airport,42.7008925,-78.9147569,,''4G2''=''Hamburg Inc Airport'',,"""","4G2""= ""Hamburg Inc Airport ""","""4G2""= ""Hamburg Inc Airport """
4G4,Youngstown Elser Metro Airport,40.9617953,-80.6773264,,''4G4''=''Youngstown Elser Metro Airport'',,"""","4G4""= ""Youngstown Elser Metro Airport ""","""4G4""= ""Youngstown Elser Metro Airport """
4I7,Putnam County Airport,39.6335556,-86.8138056,,''4I7''=''Putnam County Airport'',,"""","4I7""= ""Putnam County Airport ""","""4I7""= ""Putnam County Airport """
4U9,Dell Flight Strip,44.7357483,-112.7200133,,''4U9''=''Dell Flight Strip'',,"""","4U9""= ""Dell Flight Strip ""","""4U9""= ""Dell Flight Strip """
52A,Madison GA Municipal Airport,33.612125,-83.4604444,,''52A''=''Madison GA Municipal Airport'',,"""","52A""= ""Madison GA Municipal Airport ""","""52A""= ""Madison GA Municipal Airport """
54J,DeFuniak Springs Airport,30.7311111,-86.1537778,,''54J''=''DeFuniak Springs Airport'',,"""","54J""= ""DeFuniak Springs Airport ""","""54J""= ""DeFuniak Springs Airport """
55J,Fernandina Beach Municipal Airport,30.6118333,-81.4611944,,''55J''=''Fernandina Beach Municipal Airport'',,"""","55J""= ""Fernandina Beach Municipal Airport ""","""55J""= ""Fernandina Beach Municipal Airport """
57C,East Troy Municipal Airport,42.7971667,-88.3726111,,''57C''=''East Troy Municipal Airport'',,"""","57C""= ""East Troy Municipal Airport ""","""57C""= ""East Troy Municipal Airport """
60J,Ocean Isle Beach Airport,33.9085056,-78.4366722,,''60J''=''Ocean Isle Beach Airport'',,"""","60J""= ""Ocean Isle Beach Airport ""","""60J""= ""Ocean Isle Beach Airport """
6A2,Griffin-Spalding County Airport,33.2269722,-84.2749444,,''6A2''=''Griffin-Spalding County Airport'',,"""","6A2""= ""Griffin-Spalding County Airport ""","""6A2""= ""Griffin-Spalding County Airport """
6K8,Tok Junction Airport,63.329444,-142.953611,,''6K8''=''Tok Junction Airport'',,"""","6K8""= ""Tok Junction Airport ""","""6K8""= ""Tok Junction Airport """
6S0,Big Timber Airport,45.8063889,-109.9811111,,''6S0''=''Big Timber Airport'',,"""","6S0""= ""Big Timber Airport ""","""6S0""= ""Big Timber Airport """
6S2,Florence,43.9828168,-124.1113687,,''6S2''=''Florence'',,"""","6S2""= ""Florence ""","""6S2""= ""Florence """
6Y8,Welke Airport,45.721111,-85.520278,,''6Y8''=''Welke Airport'',,"""","6Y8""= ""Welke Airport ""","""6Y8""= ""Welke Airport """
70J,Cairo-Grady County Airport,30.8879767,-84.1547353,,''70J''=''Cairo-Grady County Airport'',,"""","70J""= ""Cairo-Grady County Airport ""","""70J""= ""Cairo-Grady County Airport """
70N,Spring Hill Airport,41.3473569,-75.4158972,,''70N''=''Spring Hill Airport'',,"""","70N""= ""Spring Hill Airport ""","""70N""= ""Spring Hill Airport """
7A4,Foster Field,42.4664444,-90.1693889,,''7A4''=''Foster Field'',,"""","7A4""= ""Foster Field ""","""7A4""= ""Foster Field """
7D9,Germack Airport,41.7778322,-80.9039797,,''7D9''=''Germack Airport'',,"""","7D9""= ""Germack Airport ""","""7D9""= ""Germack Airport """
7N7,Spitfire Aerodrome,39.7355633,-75.3977211,,''7N7''=''Spitfire Aerodrome'',,"""","7N7""= ""Spitfire Aerodrome ""","""7N7""= ""Spitfire Aerodrome """
8M8,Garland Airport,44.8065278,-84.2761944,,''8M8''=''Garland Airport'',,"""","8M8""= ""Garland Airport ""","""8M8""= ""Garland Airport """
93C,Richland Airport,43.2833575,-90.2982819,,''93C''=''Richland Airport'',,"""","93C""= ""Richland Airport ""","""93C""= ""Richland Airport """
99N,Bamberg County Airport,33.3045278,-81.1084167,,''99N''=''Bamberg County Airport'',,"""","99N""= ""Bamberg County Airport ""","""99N""= ""Bamberg County Airport """
9A1,Covington Municipal Airport,33.6323083,-83.8474472,,''9A1''=''Covington Municipal Airport'',,"""","9A1""= ""Covington Municipal Airport ""","""9A1""= ""Covington Municipal Airport """
9A5,Barwick Lafayette Airport,34.6884792,-85.2903319,,''9A5''=''Barwick Lafayette Airport'',,"""","9A5""= ""Barwick Lafayette Airport ""","""9A5""= ""Barwick Lafayette Airport """
A39,Phoenix Regional Airport,32.99169922,-111.9209976,,''A39''=''Phoenix Regional Airport'',,"""","A39""= ""Phoenix Regional Airport ""","""A39""= ""Phoenix Regional Airport """
AAF,Apalachicola Regional Airport,29.7276066,-85.0274416,,''AAF''=''Apalachicola Regional Airport'',,"""","AAF""= ""Apalachicola Regional Airport ""","""AAF""= ""Apalachicola Regional Airport """
ABE,Lehigh Valley Intl,40.652083,-75.440806,,''ABE''=''Lehigh Valley Intl'',,"""","ABE""= ""Lehigh Valley Intl ""","""ABE""= ""Lehigh Valley Intl """
ABI,Abilene Rgnl,32.411319,-99.681897,,''ABI''=''Abilene Rgnl'',,"""","ABI""= ""Abilene Rgnl ""","""ABI""= ""Abilene Rgnl """
ABL,Ambler Airport,67.106389,-157.8575,,''ABL''=''Ambler Airport'',,"""","ABL""= ""Ambler Airport ""","""ABL""= ""Ambler Airport """
ABQ,Albuquerque International Sunport,35.0402222,-106.6091944,,''ABQ''=''Albuquerque International Sunport'',,"""","ABQ""= ""Albuquerque International Sunport ""","""ABQ""= ""Albuquerque International Sunport """
ABR,Aberdeen Regional Airport,45.4491,-98.4218,,''ABR''=''Aberdeen Regional Airport'',,"""","ABR""= ""Aberdeen Regional Airport ""","""ABR""= ""Aberdeen Regional Airport """
ABY,Southwest Georgia Regional Airport,31.5355,-84.1945,,''ABY''=''Southwest Georgia Regional Airport'',,"""","ABY""= ""Southwest Georgia Regional Airport ""","""ABY""= ""Southwest Georgia Regional Airport """
ACK,Nantucket Mem,41.253053,-70.060181,,''ACK''=''Nantucket Mem'',,"""","ACK""= ""Nantucket Mem ""","""ACK""= ""Nantucket Mem """
ACT,Waco Rgnl,31.611289,-97.230519,,''ACT''=''Waco Rgnl'',,"""","ACT""= ""Waco Rgnl ""","""ACT""= ""Waco Rgnl """
ACV,Arcata,40.978111,-124.108611,,''ACV''=''Arcata'',,"""","ACV""= ""Arcata ""","""ACV""= ""Arcata """
ACY,Atlantic City Intl,39.457583,-74.577167,,''ACY''=''Atlantic City Intl'',,"""","ACY""= ""Atlantic City Intl ""","""ACY""= ""Atlantic City Intl """
ADK,Adak Airport,51.878,-176.646,,''ADK''=''Adak Airport'',,"""","ADK""= ""Adak Airport ""","""ADK""= ""Adak Airport """
ADM,Ardmore Muni,34.300833,-97.008889,,''ADM''=''Ardmore Muni'',,"""","ADM""= ""Ardmore Muni ""","""ADM""= ""Ardmore Muni """
ADQ,Kodiak,57.749967,-152.493856,,''ADQ''=''Kodiak'',,"""","ADQ""= ""Kodiak ""","""ADQ""= ""Kodiak """
ADS,Addison,32.9685594,-96.8364478,,''ADS''=''Addison'',,"""","ADS""= ""Addison ""","""ADS""= ""Addison """
ADW,Andrews Afb,38.810806,-76.867028,,''ADW''=''Andrews Afb'',,"""","ADW""= ""Andrews Afb ""","""ADW""= ""Andrews Afb """
AET,Allakaket Airport,66.5519,-152.6222,,''AET''=''Allakaket Airport'',,"""","AET""= ""Allakaket Airport ""","""AET""= ""Allakaket Airport """
AEX,Alexandria Intl,31.3274,-92.549833,,''AEX''=''Alexandria Intl'',,"""","AEX""= ""Alexandria Intl ""","""AEX""= ""Alexandria Intl """
AFE,Kake Airport,56.961389,-133.910278,,''AFE''=''Kake Airport'',,"""","AFE""= ""Kake Airport ""","""AFE""= ""Kake Airport """
AFW,Fort Worth Alliance Airport,32.987778,-97.318889,,''AFW''=''Fort Worth Alliance Airport'',,"""","AFW""= ""Fort Worth Alliance Airport ""","""AFW""= ""Fort Worth Alliance Airport """
AGC,Allegheny County Airport,40.3544,-79.9302,,''AGC''=''Allegheny County Airport'',,"""","AGC""= ""Allegheny County Airport ""","""AGC""= ""Allegheny County Airport """
AGN,Angoon Seaplane Base,57.503611,-134.585,,''AGN''=''Angoon Seaplane Base'',,"""","AGN""= ""Angoon Seaplane Base ""","""AGN""= ""Angoon Seaplane Base """
AGS,Augusta Rgnl At Bush Fld,33.369944,-81.9645,,''AGS''=''Augusta Rgnl At Bush Fld'',,"""","AGS""= ""Augusta Rgnl At Bush Fld ""","""AGS""= ""Augusta Rgnl At Bush Fld """
AHN,Athens Ben Epps Airport,33.9486,-83.3263,,''AHN''=''Athens Ben Epps Airport'',,"""","AHN""= ""Athens Ben Epps Airport ""","""AHN""= ""Athens Ben Epps Airport """
AIA,Alliance Municipal Airport,42.053333,-102.803889,,''AIA''=''Alliance Municipal Airport'',,"""","AIA""= ""Alliance Municipal Airport ""","""AIA""= ""Alliance Municipal Airport """
AIK,Municipal Airport,33.6493889,-81.6850278,,''AIK''=''Municipal Airport'',,"""","AIK""= ""Municipal Airport ""","""AIK""= ""Municipal Airport """
AIN,Wainwright Airport,70.638056,-159.994722,,''AIN''=''Wainwright Airport'',,"""","AIN""= ""Wainwright Airport ""","""AIN""= ""Wainwright Airport """
AIZ,Lee C Fine Memorial Airport,38.096035,-92.5494875,,''AIZ''=''Lee C Fine Memorial Airport'',,"""","AIZ""= ""Lee C Fine Memorial Airport ""","""AIZ""= ""Lee C Fine Memorial Airport """
AKB,Atka Airport,52.220278,-174.206389,,''AKB''=''Atka Airport'',,"""","AKB""= ""Atka Airport ""","""AKB""= ""Atka Airport """
AKC,Akron Fulton Intl,41.0375,-81.466917,,''AKC''=''Akron Fulton Intl'',,"""","AKC""= ""Akron Fulton Intl ""","""AKC""= ""Akron Fulton Intl """
AKI,Akiak Airport,60.902778,-161.230556,,''AKI''=''Akiak Airport'',,"""","AKI""= ""Akiak Airport ""","""AKI""= ""Akiak Airport """
AKK,Akhiok Airport,56.938611,-154.1825,,''AKK''=''Akhiok Airport'',,"""","AKK""= ""Akhiok Airport ""","""AKK""= ""Akhiok Airport """
AKN,King Salmon,58.676778,-156.649278,,''AKN''=''King Salmon'',,"""","AKN""= ""King Salmon ""","""AKN""= ""King Salmon """
AKP,Anaktuvuk Pass Airport,68.1336,-151.743,,''AKP''=''Anaktuvuk Pass Airport'',,"""","AKP""= ""Anaktuvuk Pass Airport ""","""AKP""= ""Anaktuvuk Pass Airport """
ALB,Albany Intl,42.748267,-73.801692,,''ALB''=''Albany Intl'',,"""","ALB""= ""Albany Intl ""","""ALB""= ""Albany Intl """
ALI,Alice Intl,27.740889,-98.026944,,''ALI''=''Alice Intl'',,"""","ALI""= ""Alice Intl ""","""ALI""= ""Alice Intl """
ALM,Alamogordo White Sands Regional Airport,32.8399,-105.991,,''ALM''=''Alamogordo White Sands Regional Airport'',,"""","ALM""= ""Alamogordo White Sands Regional Airport ""","""ALM""= ""Alamogordo White Sands Regional Airport """
ALO,Waterloo Regional Airport,42.5571,-92.4003,,''ALO''=''Waterloo Regional Airport'',,"""","ALO""= ""Waterloo Regional Airport ""","""ALO""= ""Waterloo Regional Airport """
ALS,San Luis Valley Regional Airport,37.435,-105.866667,,''ALS''=''San Luis Valley Regional Airport'',,"""","ALS""= ""San Luis Valley Regional Airport ""","""ALS""= ""San Luis Valley Regional Airport """
ALW,Walla Walla Regional Airport,46.0949,-118.288,,''ALW''=''Walla Walla Regional Airport'',,"""","ALW""= ""Walla Walla Regional Airport ""","""ALW""= ""Walla Walla Regional Airport """
ALX,Alexandria,38.806346,-77.0621,,''ALX''=''Alexandria'',,"""","ALX""= ""Alexandria ""","""ALX""= ""Alexandria """
ALZ,Alitak Seaplane Base,56.899444,-154.247778,,''ALZ''=''Alitak Seaplane Base'',,"""","ALZ""= ""Alitak Seaplane Base ""","""ALZ""= ""Alitak Seaplane Base """
AMA,Rick Husband Amarillo Intl,35.219369,-101.705931,,''AMA''=''Rick Husband Amarillo Intl'',,"""","AMA""= ""Rick Husband Amarillo Intl ""","""AMA""= ""Rick Husband Amarillo Intl """
ANB,Anniston Metro,33.588167,-85.858111,,''ANB''=''Anniston Metro'',,"""","ANB""= ""Anniston Metro ""","""ANB""= ""Anniston Metro """
ANC,Ted Stevens Anchorage Intl,61.174361,-149.996361,,''ANC''=''Ted Stevens Anchorage Intl'',,"""","ANC""= ""Ted Stevens Anchorage Intl ""","""ANC""= ""Ted Stevens Anchorage Intl """
AND,Anderson Rgnl,34.494583,-82.709389,,''AND''=''Anderson Rgnl'',,"""","AND""= ""Anderson Rgnl ""","""AND""= ""Anderson Rgnl """
ANI,Aniak Airport,61.5816,-159.543,,''ANI''=''Aniak Airport'',,"""","ANI""= ""Aniak Airport ""","""ANI""= ""Aniak Airport """
ANN,Annette Island,55.042436,-131.572233,,''ANN''=''Annette Island'',,"""","ANN""= ""Annette Island ""","""ANN""= ""Annette Island """
ANP,Lee Airport,38.942778,-76.568333,,''ANP''=''Lee Airport'',,"""","ANP""= ""Lee Airport ""","""ANP""= ""Lee Airport """
ANQ,Tri-State Steuben County Airport,41.6396983,-85.0834933,,''ANQ''=''Tri-State Steuben County Airport'',,"""","ANQ""= ""Tri-State Steuben County Airport ""","""ANQ""= ""Tri-State Steuben County Airport """
ANV,Anvik Airport,62.6467,-160.191,,''ANV''=''Anvik Airport'',,"""","ANV""= ""Anvik Airport ""","""ANV""= ""Anvik Airport """
AOH,Lima Allen County Airport,40.707478,-84.0270781,,''AOH''=''Lima Allen County Airport'',,"""","AOH""= ""Lima Allen County Airport ""","""AOH""= ""Lima Allen County Airport """
AOO,Altoona Blair Co,40.296372,-78.320022,,''AOO''=''Altoona Blair Co'',,"""","AOO""= ""Altoona Blair Co ""","""AOO""= ""Altoona Blair Co """
AOS,Amook Bay Seaplane Base,57.471389,-153.815278,,''AOS''=''Amook Bay Seaplane Base'',,"""","AOS""= ""Amook Bay Seaplane Base ""","""AOS""= ""Amook Bay Seaplane Base """
APA,Centennial,39.570129,-104.849294,,''APA''=''Centennial'',,"""","APA""= ""Centennial ""","""APA""= ""Centennial """
APC,Napa County Airport,38.2131944,-122.2806944,,''APC''=''Napa County Airport'',,"""","APC""= ""Napa County Airport ""","""APC""= ""Napa County Airport """
APF,Naples Muni,26.152619,-81.775294,,''APF''=''Naples Muni'',,"""","APF""= ""Naples Muni ""","""APF""= ""Naples Muni """
APG,Phillips Aaf,39.466219,-76.168808,,''APG''=''Phillips Aaf'',,"""","APG""= ""Phillips Aaf ""","""APG""= ""Phillips Aaf """
APN,Alpena County Regional Airport,45.0781,-83.5603,,''APN''=''Alpena County Regional Airport'',,"""","APN""= ""Alpena County Regional Airport ""","""APN""= ""Alpena County Regional Airport """
AQC,Klawock Seaplane Base,55.554658,-133.101693,,''AQC''=''Klawock Seaplane Base'',,"""","AQC""= ""Klawock Seaplane Base ""","""AQC""= ""Klawock Seaplane Base """
ARA,Acadiana Rgnl,30.037758,-91.883896,,''ARA''=''Acadiana Rgnl'',,"""","ARA""= ""Acadiana Rgnl ""","""ARA""= ""Acadiana Rgnl """
ARB,Ann Arbor Municipal Airport,42.132274,-83.444418,,''ARB''=''Ann Arbor Municipal Airport'',,"""","ARB""= ""Ann Arbor Municipal Airport ""","""ARB""= ""Ann Arbor Municipal Airport """
ARC,Arctic Village Airport,68.1147,-145.579,,''ARC''=''Arctic Village Airport'',,"""","ARC""= ""Arctic Village Airport ""","""ARC""= ""Arctic Village Airport """
ART,Watertown Intl,43.991922,-76.021739,,''ART''=''Watertown Intl'',,"""","ART""= ""Watertown Intl ""","""ART""= ""Watertown Intl """
ARV,Lakeland,45.927778,-89.730833,,''ARV''=''Lakeland'',,"""","ARV""= ""Lakeland ""","""ARV""= ""Lakeland """
ASE,Aspen Pitkin County Sardy Field,39.2232,-106.869,,''ASE''=''Aspen Pitkin County Sardy Field'',,"""","ASE""= ""Aspen Pitkin County Sardy Field ""","""ASE""= ""Aspen Pitkin County Sardy Field """
ASH,Boire Field Airport,42.78175,-71.5147778,,''ASH''=''Boire Field Airport'',,"""","ASH""= ""Boire Field Airport ""","""ASH""= ""Boire Field Airport """
AST,Astoria Regional Airport,46.157972,-123.878694,,''AST''=''Astoria Regional Airport'',,"""","AST""= ""Astoria Regional Airport ""","""AST""= ""Astoria Regional Airport """
ATK,Atqasuk Edward Burnell Sr Memorial Airport,70.4673,-157.436,,''ATK''=''Atqasuk Edward Burnell Sr Memorial Airport'',,"""","ATK""= ""Atqasuk Edward Burnell Sr Memorial Airport ""","""ATK""= ""Atqasuk Edward Burnell Sr Memorial Airport """
ATL,Hartsfield Jackson Atlanta Intl,33.636719,-84.428067,,''ATL''=''Hartsfield Jackson Atlanta Intl'',,"""","ATL""= ""Hartsfield Jackson Atlanta Intl ""","""ATL""= ""Hartsfield Jackson Atlanta Intl """
ATT,Camp Mabry Austin City,30.31666,-97.7666,,''ATT''=''Camp Mabry Austin City'',,"""","ATT""= ""Camp Mabry Austin City ""","""ATT""= ""Camp Mabry Austin City """
ATW,Appleton,44.257526,-88.507576,,''ATW''=''Appleton'',,"""","ATW""= ""Appleton ""","""ATW""= ""Appleton """
ATY,Watertown Regional Airport,44.914,-97.1547,,''ATY''=''Watertown Regional Airport'',,"""","ATY""= ""Watertown Regional Airport ""","""ATY""= ""Watertown Regional Airport """
AUG,Augusta State,44.320647,-69.797317,,''AUG''=''Augusta State'',,"""","AUG""= ""Augusta State ""","""AUG""= ""Augusta State """
AUK,Alakanuk Airport,62.68,-164.66,,''AUK''=''Alakanuk Airport'',,"""","AUK""= ""Alakanuk Airport ""","""AUK""= ""Alakanuk Airport """
AUS,Austin Bergstrom Intl,30.194528,-97.669889,,''AUS''=''Austin Bergstrom Intl'',,"""","AUS""= ""Austin Bergstrom Intl ""","""AUS""= ""Austin Bergstrom Intl """
AUW,Wausau Downtown Airport,44.9262845,-89.6270018,,''AUW''=''Wausau Downtown Airport'',,"""","AUW""= ""Wausau Downtown Airport ""","""AUW""= ""Wausau Downtown Airport """
AVL,Asheville Regional Airport,35.436194,-82.541806,,''AVL''=''Asheville Regional Airport'',,"""","AVL""= ""Asheville Regional Airport ""","""AVL""= ""Asheville Regional Airport """
AVO,Executive,27.591389,-81.528889,,''AVO''=''Executive'',,"""","AVO""= ""Executive ""","""AVO""= ""Executive """
AVP,Wilkes Barre Scranton Intl,41.338478,-75.723403,,''AVP''=''Wilkes Barre Scranton Intl'',,"""","AVP""= ""Wilkes Barre Scranton Intl ""","""AVP""= ""Wilkes Barre Scranton Intl """
AVW,Marana Regional,32.409556,-111.218388,,''AVW''=''Marana Regional'',,"""","AVW""= ""Marana Regional ""","""AVW""= ""Marana Regional """
AVX,Avalon,33.405,-118.415833,,''AVX''=''Avalon'',,"""","AVX""= ""Avalon ""","""AVX""= ""Avalon """
AZA,Phoenix-Mesa Gateway,33.307833,-111.655,,''AZA''=''Phoenix-Mesa Gateway'',,"""","AZA""= ""Phoenix-Mesa Gateway ""","""AZA""= ""Phoenix-Mesa Gateway """
AZO,Kalamazoo,42.234875,-85.552058,,''AZO''=''Kalamazoo'',,"""","AZO""= ""Kalamazoo ""","""AZO""= ""Kalamazoo """
BAB,Beale Afb,39.136089,-121.436567,,''BAB''=''Beale Afb'',,"""","BAB""= ""Beale Afb ""","""BAB""= ""Beale Afb """
BAD,Barksdale Afb,32.50182,-93.662674,,''BAD''=''Barksdale Afb'',,"""","BAD""= ""Barksdale Afb ""","""BAD""= ""Barksdale Afb """
